Mixture component,Term,Estimate,95% CI,SD (Intercept),N
Conditional Model,(Intercept),-7.71,"-9.87, -5.55",NA,NA
Conditional Model,seeds.WALD,1.17,"0.86, 1.49",NA,NA
Conditional Model,age,1.61,"-0.21, 3.43",NA,NA
Conditional Model,bio19,-4.03,"-6.24, -1.82",NA,NA
Conditional Model,relelev,-0.17,"-0.54, 0.2",NA,NA
Conditional Model,artificial,6.31,"4.65, 7.97",NA,NA
Conditional Model,T34,8.12,"5.45, 10.8",NA,NA
Conditional Model,V1,5.44,"2.66, 8.22",NA,NA
Conditional Model,T1,8.65,"6.05, 11.25",NA,NA
Conditional Model,T40,2.56,"1.91, 3.2",NA,NA
Conditional Model,T30,0.99,"-2.19, 4.17",NA,NA
Conditional Model,V8,-0.37,"-5.07, 4.34",NA,NA
Conditional Model,V3,-3.5,"-5.07, -1.93",NA,NA
Conditional Model,seeds.WALD * age,-0.59,"-0.83, -0.35",NA,NA
Conditional Model,locality,NA,NA,2.09,6
Zero-inflation model,(Intercept),-6.58,"-37.24, 24.07",NA,NA
Zero-inflation model,age,3.58,"-13.88, 21.03",NA,NA
