Mixture component,Term,Estimate,95% CI,SD (Intercept),N
Conditional Model,(Intercept),-1.8,"-2.28, -1.31",NA,NA
Conditional Model,age,-0.08,"-0.54, 0.38",NA,NA
Conditional Model,bio01,0.54,"0.01, 1.08",NA,NA
Conditional Model,bio19,-0.03,"-0.55, 0.5",NA,NA
Conditional Model,relelev,-0.12,"-0.19, -0.05",NA,NA
Conditional Model,T45,-2.25,"-2.42, -2.08",NA,NA
Conditional Model,artificial,-1.07,"-1.27, -0.87",NA,NA
Conditional Model,T44,-4.9,"-5.68, -4.12",NA,NA
Conditional Model,T32,-1.24,"-1.42, -1.06",NA,NA
Conditional Model,V9,0.84,"0.63, 1.05",NA,NA
Conditional Model,T34,0.15,"0.01, 0.29",NA,NA
Conditional Model,V12,-0.37,"-1.92, 1.19",NA,NA
Conditional Model,V1,-0.37,"-0.53, -0.22",NA,NA
Conditional Model,T13,2.13,"0.57, 3.7",NA,NA
Conditional Model,T41,-1.12,"-1.44, -0.79",NA,NA
Conditional Model,T1,-0.23,"-0.63, 0.16",NA,NA
Conditional Model,V2,-1.29,"-1.77, -0.82",NA,NA
Conditional Model,T2,0.24,"-0.12, 0.59",NA,NA
Conditional Model,T40,0.19,"-0.56, 0.94",NA,NA
Conditional Model,V10,-2.94,"-5.22, -0.65",NA,NA
Conditional Model,T27,1.66,"1, 2.32",NA,NA
Conditional Model,T17,1.48,"0.81, 2.14",NA,NA
Conditional Model,T29,-4.86,"-10.63, 0.9",NA,NA
Conditional Model,T16,2.08,"1.31, 2.86",NA,NA
Conditional Model,V8,-3.14,"-9.58, 3.31",NA,NA
Conditional Model,T31,0.1,"-0.3, 0.5",NA,NA
Conditional Model,V3,-0.67,"-1.17, -0.18",NA,NA
Conditional Model,T6,-1.07,"-2.02, -0.12",NA,NA
Conditional Model,V13,-1.72,"-5.06, 1.62",NA,NA
Conditional Model,T12,0.48,"-2.34, 3.29",NA,NA
Conditional Model,T24,-3.55,"-9.16, 2.06",NA,NA
Conditional Model,T21,-1.33,"-3.06, 0.4",NA,NA
Conditional Model,T36,2.26,"1.28, 3.25",NA,NA
Conditional Model,locality,NA,NA,1.42,42
Zero-inflation model,(Intercept),0.39,"-0.06, 0.84",NA,NA
Zero-inflation model,age,-0.78,"-1.19, -0.36",NA,NA
Zero-inflation model,locality,NA,NA,1.19,42
