[2021-04-30 13:09:14][INFO] Larix, anisdal, NORA10BC site 21, 0 km away
[2021-04-30 13:18:23][INFO] Larix, anisdal, NORA10BC site 21, 0 km away
[2021-04-30 13:19:29][INFO] Larix, engjane, NORA10BC site 27, 0 km away
[2021-04-30 13:22:39][INFO] Larix, haalandsbotn, NORA10BC site 22, 0 km away
[2021-04-30 13:23:31][INFO] Larix, hoegaas, NORA10BC site 29, 0 km away
[2021-04-30 13:24:17][INFO] Larix, hyljafjellet, NORA10BC site 27, 0 km away
[2021-04-30 13:26:54][INFO] Larix, indre-bjotveit, NORA10BC site 19, 0 km away
[2021-04-30 13:28:27][INFO] Larix, knappeidet, NORA10BC site 13, 0 km away
[2021-04-30 13:29:37][INFO] Larix, myrvoll, NORA10BC site 30, 0 km away
[2021-04-30 13:31:49][INFO] Larix, oaland, NORA10BC site 31, 0 km away
[2021-04-30 13:34:24][INFO] Larix, roeynaasen, NORA10BC site 23, 0 km away
[2021-04-30 13:35:12][INFO] Larix, stordalslia, eKlima station no. 77230, 6 km away
[2021-04-30 13:36:10][INFO] Larix, storemo, NORA10BC site 24, 0 km away
[2021-04-30 13:37:01][INFO] Larix, toegjefjellet, NORA10BC site 25, 0 km away
[2021-04-30 13:38:02][INFO] Larix, voren, NORA10BC site 26, 0 km away
[2021-04-30 13:39:14][INFO] Larix, ytre-bjotveit, NORA10BC site 3, 0 km away
[2021-04-30 13:40:41][INFO] P.abies, boerve, NORA10BC site 1, 0 km away
[2021-04-30 13:50:28][INFO] P.abies, bondhusdalen, NORA10BC site 9, 0 km away
[2021-04-30 13:53:19][INFO] P.abies, efteland, NORA10BC site 35, 0 km away
[2021-04-30 13:59:00][INFO] P.abies, hjelmtveit, NORA10BC site 6, 0 km away
[2021-04-30 14:10:35][INFO] P.abies, indre-arna, NORA10BC site 11, 0 km away
[2021-04-30 14:22:28][INFO] P.abies, kvamskogen, NORA10BC site 16, 0 km away
[2021-04-30 14:26:03][INFO] P.abies, myklebostad, NORA10 site 53, 0 km away
[2021-04-30 14:33:50][INFO] P.abies, myrvoll, NORA10BC site 30, 0 km away
[2021-04-30 14:37:43][INFO] P.abies, mysingveien, NORA10BC site 32, 0 km away
[2021-04-30 14:41:57][INFO] P.abies, oeystese, NORA10BC site 4, 0 km away
[2021-04-30 14:53:24][INFO] P.abies, ollestad, NORA10BC site 33, 0 km away
[2021-04-30 14:58:37][INFO] P.abies, rosendal, NORA10BC site 18, 0 km away
[2021-04-30 15:04:25][INFO] P.abies, saeboe, NORA10BC site 10, 0 km away
[2021-04-30 15:07:15][INFO] P.abies, skare, NORA10BC site 2, 0 km away
[2021-04-30 15:13:41][INFO] P.abies, storbergan, NORA10 site 73, 0 km away
[2021-04-30 15:21:13][INFO] P.abies, svinnes, eKlima station no. 76530, 4 km away
[2021-04-30 15:22:23][INFO] P.abies, tennes, NORA10 site 54, 0 km away
[2021-04-30 15:35:23][INFO] P.abies, varland, NORA10BC site 34, 0 km away
[2021-04-30 15:36:51][INFO] P.abies, vasshjallane, NORA10BC site 5, 0 km away
[2021-04-30 15:44:27][INFO] P.contorta, fiskvikrokkdalen, NORA10BC site 47, 0 km away
[2021-04-30 15:50:12][INFO] P.contorta, gulemyrane, NORA10BC site 48, 0 km away
[2021-04-30 15:52:01][INFO] P.contorta, selvik, NORA10BC site 49, 0 km away
